Sample Location,Length (cm),Thickness (cm),Juv or Adult,,
Conch Sound,19.5,1.4,,,
Conch Sound,17.4,1.1,,,
Angie's Beach,22.5,1.8,,,
Blazer Cay,19.5,1.3,,,
Bowry Bay,16,2.2,,,
Mastic Bay,17,1.3,,,
Young Sound,22,2.6,,,
Bowry Bay,20,2.8,,,
Mastic Bay,17,1.0,,,
Young Sound,20.8,3.0,,,
Grassy Creek,21.9,2.9,,,
Stafford Creek,22,2.0,,,
Conch Sound,19.7,1.1,,,
Blazer Cay,18.5,1.8,,,
Grassy Creek,20,2.0,,,
Stafford Creek,19,2.5,,,
Mastic Bay,20.9,2.7,,,
Blazer Cay,21,2.9,,,
Stafford Creek,21,2.3,,,
Angie's Beach,19.5,1.3,,,
Mastic Bay,23,1.6,,,
Mastic Bay,18.5,1.2,,,
Conch Sound,18,0.7,,,
Angie's Beach,23,1.5,,,
Grassy Creek,23,2.9,,,
Stafford Creek,16.4,1.0,,,
Bowry Bay,20,1.7,,,
Bowry Bay,21,1.8,,,
Young Sound,21.5,1.6,,,
Stafford Creek,23.5,3.0,,,
Conch Sound,27,2.5,,,
Blazer Cay,20,1.9,,,
Angie's Beach,19.5,1.6,,,
Bowry Bay,21,1.8,,,
Blazer Cay,18,1.2,,,
Young Sound,20,1.2,,,
Angie's Beach,20.6,2.0,,,
Young Sound,21,1.5,,,
Stafford Creek,22,2.6,,,
Bowry Bay,19.5,2.0,,,
Blazer Cay,20,1.7,,,
Bowry Bay,20,2.3,,,
Conch Sound,24,1.4,,,
Angie's Beach,22,1.6,,,
Young Sound,22,1.1,,,
Conch Sound,17,0.6,,,
Conch Sound,18.7,2.0,,,
Angie's Beach,22,2.1,,,
Young Sound,22.1,3.5,,,
Grassy Creek,21,2.1,,,
Young Sound,19.5,1.8,,,
Angie's Beach,22.5,2.0,,,
Angie's Beach,22.5,2.9,,,
Young Sound,20,2.0,,,
Blazer Cay,19,1.9,,,
Conch Sound,24,1.7,,,
Mastic Bay,11,1.3,,,
Stafford Creek,23,2.4,,,
Blazer Cay,18,2.3,,,
Bowry Bay,21,1.4,,,
Mastic Bay,24,4.6,,,
Grassy Creek,18.5,1.6,,,
Stafford Creek,22,2.9,,,
Bowry Bay,19.5,1.4,,,
Angie's Beach,23,1.9,,,
Mastic Bay,23.8,3.2,,,
Grassy Creek,20.5,1.7,,,
Angie's Beach,20,1.6,,,
Blazer Cay,22.5,3.5,,,
Conch Sound,24,4.8,,,
Grassy Creek,23,3.1,,,
Mastic Bay,21,3.1,,,
Angie's Beach,22.5,2.8,,,
Mastic Bay,25.5,3.4,,,
Young Sound,23.2,4.4,,,
Bowry Bay,18,1.3,,,
Stafford Creek,18.6,1.9,,,
Young Sound,23.6,4.7,,,
Bowry Bay,20.5,3.3,,,
Bowry Bay,18,2.5,,,
Bowry Bay,17.5,1.7,,,
Bowry Bay,21,2.0,,,
Blazer Cay,20,2.0,,,
Angie's Beach,17,0.8,,,
Bowry Bay,20,1.4,,,
Mastic Bay,22,2.3,,,
Bowry Bay,22,2.2,,,
Young Sound,23.5,3.5,,,
Blazer Cay,17.5,2.7,,,
Angie's Beach,19.5,1.7,,,
Mastic Bay,18.7,1.0,,,
Bowry Bay,21,1.8,,,
Stafford Creek,22.6,4.0,,,
Blazer Cay,21,2.1,,,
Mastic Bay,18,1.7,,,
Bowry Bay,20,1.4,,,
Blazer Cay,19.5,1.0,,,
Grassy Creek,19.5,1.3,,,
Angie's Beach,22.5,1.5,,,
Blazer Cay,20,1.2,,,
Stafford Creek,21,2.7,,,
Angie's Beach,21,1.1,,,
Angie's Beach,24,3.7,,,
Bowry Bay,22,3.5,,,
Bowry Bay,19.5,3.2,,,
Stafford Creek,22,11.0,,,
Conch Sound,24.5,3.5,,,
Conch Sound,23,3.5,,,
Angie's Beach,22,1.7,,,
Angie's Beach,19,1.4,,,
Conch Sound,23.5,2.4,,,
Blazer Cay,22,2.2,,,
Bowry Bay,21,2.8,,,
Blazer Cay,19,1.0,,,
Conch Sound,20.5,1.1,,,
Stafford Creek,16,1.3,,,
Young Sound,24,4.0,,,
